Наименование;Цена;До;Тип тендера;От;Регион;Отрасль
ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ РОСТОВСКОЙ ОБЛАСТИ ТАГАНРОГСКИЙ ДОМ ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ объявляет тендер Услуги по охране зданий и прилегающей территории;896700;12.03.2021;Конкурс;24.02.2021;Ростовская область Южный ФО Таганрог;Безопасность Охрана и оборудование;;
Проектирование объекта Строительство автомобильной дороги по адресу Ростовская обл г Таганрог пер й Новый от ул Очистная вдоль многоквартирных жилых домов по адресам пер й Новый и;3000000;30.03.2021;Конкурс;05.03.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Проектные работы геодезия картография инженерные изыскания кадастровые работы;;
АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ НАУЧНО ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СВЯЗИ объявляет тендер Выполнение работ по ремонту фасада корпуса;9021970;09.03.2021;Конкурс;26.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Ремонтные и строительные работы;;
Ремонт автомобильной дороги ул Петровская на участке от пер Итальянский до пер Украинский;9620929;12.03.2021;Конкурс;16.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Дороги мосты тоннели;;
Аренда безвозмездное пользование доверительное управление имуществом иные договоры предусматривающие передачу прав владения и пользования в отношении государственного и муниципального имущества Нежилое помещение Площадь общая кв м номера на поэтажном плане а а Этаж подвал Литер п А а а Объект требует проведения ремонта Стены кирпичные полы бетонные линолеум внутренняя отделка окраска оклейка обоями пластиковые панели Объект оснащен водопроводом канализацией электроснабжением отоплением по адресу Ростовская обл Таганрог г Инициативная ул;391500;16.03.2021;Конкурс;16.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Ремонтные и строительные работы;;
Аренда безвозмездное пользование доверительное управление имуществом иные договоры предусматривающие передачу прав владения и пользования в отношении государственного и муниципального имущества Нежилое помещение назначение нежилое Площадь общая кв м номера на поэтажном плане Этаж Объект в удовлетворительном техническом состоянии Стены ж б плиты полы керамическая плитка внутренняя отделка окраска водным составом по штукатурке Объект оснащен электроснабжением и отоплением по адресу Ростовская обл Таганрог г Чехова ул;178500;16.03.2021;Конкурс;16.02.2021;Ростовская область Южный ФО Таганрог;Строительство недвижимость и архитектура Строительные материалы оборудование и инструменты;;
АКЦИОНЕРНОЕ ОБЩЕСТВО ТАГАНРОГСКИЙ НАУЧНО ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СВЯЗИ объявляет тендер Оказание услуг по предоставлению в лизинг автомобилей ГАЗ;5103215;23.03.2021;Конкурс;05.03.2021;Ростовская область Южный ФО Таганрог;Транспорт Автомобили автотранспорт автобусы прицепы;;
Услуги по содержанию и обслуживанию кладбищ уходу за могилами и местами захоронения;2000000;10.03.2021;Конкурс;12.02.2021;Ростовская область Южный ФО Таганрог;Экология Благоустройство территории ландшафтные работы;;
АО БЕТА ИР объявляет тендер Поставка соединителей в ассортименте;208855;23.03.2021;Конкурс;18.02.2021;Ростовская область Южный ФО Таганрог;Электротехника Электротехнические изделия;;
Ассоциация Евросибирская саморегулируемая организация арбитражных управляющих объявляет тендер Продажа имущества должника Права требования ООО Белый Двор Т в размере руб руб основной долг руб расходы по оплате госпошлины подтверждаемые определением Арбитражного суда Ростовской области от г по делу А вступившим в законную силу г к Коммерческому Банку Союзный ООО ОГРН ИНН г Москва ул Бабаевская д признанного несостоятельным банкротом и находящегося в процедуре конкурсного производства дело А Требования в размере руб включены в состав основного долга третьей очереди реестра требований кредиторов КБ Союзный ООО требования в размере руб расходов по оплате госпошлины учтены в составе текущих платежей КБ Союзный ООО С документами на дебиторскую задолженность можно ознакомиться у конкурсного управляющего по предварительной записи тел;11273252;10.03.2021;Аукцион;29.01.2021;Ростовская область Южный ФО Таганрог;Бизнес финансы страхование маркетинг и реклама Банковское дело;;
